start	end	text
0	2000	今天我們來吃一碗雞蛋糕
2000	4000	雞蛋糕
4000	6000	雞蛋糕
6000	8000	雞蛋糕
8000	10000	雞蛋糕
10000	12000	雞蛋糕
12000	14000	雞蛋糕
14000	16000	雞蛋糕
16000	18000	雞蛋糕
18000	20000	雞蛋糕
20000	22000	雞蛋糕
22000	24000	雞蛋糕
26000	28000	雞蛋糕
28000	30000	雞蛋糕
30000	32000	雞蛋糕
32000	34000	雞蛋糕
34000	36000	雞蛋糕
36000	38000	雞蛋糕
38000	40000	雞蛋糕
40000	42000	雞蛋糕
42000	44000	雞蛋糕
44000	46000	雞蛋糕
46000	48000	雞蛋糕
48000	50000	雞蛋糕
50000	52000	雞蛋糕
54000	56000	雞蛋糕
56000	58000	雞蛋糕
58000	60000	雞蛋糕
60000	62000	雞蛋糕
62000	64000	雞蛋糕
64000	66000	雞蛋糕
66000	68000	雞蛋糕
68000	70000	雞蛋糕
70000	72000	雞蛋糕
72000	74000	雞蛋糕
74000	76000	雞蛋糕
76000	78000	雞蛋糕
78000	80000	雞蛋糕
80000	82000	雞蛋糕
82000	84000	雞蛋糕
84000	114000	這間餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的�
114000	144000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
144000	147640	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳 debt
147640	177640	這間餐廳的餐廳和餐廳的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐�
177640	207640	餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳
207640	237640	餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳
237640	243640	餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳之間的餐廳
243640	249640	餐廳之間的餐廳之間的餐廳之間的餐廳
249640	255640	餐廳之間的餐廳之間的餐廳
255640	261640	餐廳之間的餐廳之間的餐廳
261640	267640	餐廳之間的餐廳之間的餐廳
267640	273640	餐廳之間的餐廳之間的餐廳
273640	279640	餐廳之間的餐廳之間的餐廳
279640	285640	餐廳之間的餐廳
285640	291640	餐廳之間的餐廳
291640	297640	餐廳之間的餐廳
297640	303640	餐廳之間的餐廳
303640	309640	餐廳之間
309640	315640	餐廳之間的餐廳
315640	321640	餐廳之間的餐廳
321640	327640	餐廳之間
327640	333640	餐廳之間
333640	339640	餐廳之間
339640	345640	餐廳之間
345640	351640	餐廳之間
351640	357640	餐廳之間
357640	363640	餐廳之間
363640	369640	餐廳之間
369640	375640	餐廳之間
375640	381640	餐廳之間
381640	387640	餐廳之間
387640	393640	餐廳之間
393640	399640	餐廳之間
399640	405640	餐廳
405640	411640	餐廳
411640	417640	餐廳
417640	423640	餐廳
423640	429640	餐廳
429640	435640	餐廳
459640	465640	餐廳
465640	471640	餐廳
471640	477640	餐廳
477640	483640	餐廳
483640	489640	餐廳
489640	495640	餐廳
495640	501640	餐廳
501640	507640	餐廳
507640	513640	餐廳
513640	519640	餐廳
519640	525640	餐廳
525640	531640	餐廳
531640	537640	餐廳
537640	543640	餐廳
543640	549640	餐廳
549640	555640	餐廳
555640	561640	餐廳
561640	567640	餐廳
567640	573640	餐廳
573640	579640	餐廳
579640	585640	餐廳
585640	591640	餐廳
591640	597640	餐廳
597640	603640	餐廳
603640	609640	餐廳
609640	615640	餐廳
615640	621640	餐廳
621640	627640	餐廳
627640	633640	餐廳
633640	639640	餐廳
639640	645640	餐廳
645640	651640	餐廳
651640	657640	餐廳
657640	663640	餐廳
663640	669640	餐廳
669640	675640	餐廳
675640	681640	餐廳
681640	687640	餐廳
687640	693640	餐廳
693640	699640	餐廳
699640	705640	餐廳
705640	711640	餐廳
711640	717640	餐廳
717640	723640	餐廳
723640	729640	餐廳
729640	735640	餐廳
735640	741640	餐廳
741640	747640	餐廳
747640	753640	餐廳
753640	759640	餐廳
759640	765640	餐廳
765640	771640	餐廳
771640	777640	餐廳
777640	783640	餐廳
783640	789640	餐廳
789640	795640	餐廳
795640	801640	餐廳
801640	807640	餐廳
807640	813640	餐廳
813640	819640	餐廳
819640	825640	餐廳
825640	831640	餐廳
831640	837640	餐廳
837640	843640	餐廳
843640	849640	餐廳
849640	855640	餐廳
855640	861640	餐廳
861640	867640	餐廳
867640	873640	餐廳
873640	879640	餐廳
879640	885640	餐廳
885640	891640	餐廳
891640	897640	餐廳
897640	903640	餐廳
903640	909640	餐廳
909640	915640	餐廳
915640	921640	餐廳
921640	927640	餐廳
927640	933640	餐廳
933640	939640	餐廳
939640	945640	餐廳
945640	951640	餐廳
951640	957640	餐廳
957640	963640	餐廳
963640	969640	餐廳
969640	975640	餐廳
975640	981640	餐廳
981640	987640	餐廳
987640	993640	餐廳
993640	999640	餐廳
999640	1005640	餐廳
1005640	1011640	餐廳
1011640	1017640	餐廳
1017640	1023640	餐廳
1023640	1029640	餐廳
1029640	1035640	餐廳
1035640	1041640	餐廳
1041640	1047640	餐廳
1047640	1053640	餐廳
1053640	1059640	餐廳
1059640	1065640	餐廳
1065640	1071640	餐廳
1071640	1077640	餐廳
1077640	1083640	餐廳
1083640	1089640	餐廳
1089640	1095640	餐廳
1095640	1101640	餐廳
1101640	1107640	餐廳
1107640	1113640	餐廳
1113640	1119640	餐廳
1119640	1125640	餐廳
1125640	1131640	餐廳
1131640	1137640	餐廳
1137640	1143640	餐廳
1143640	1149640	餐廳
1149640	1155640	餐廳
1155640	1161640	餐廳
1161640	1167640	餐廳
1167640	1173640	餐廳
1173640	1179640	餐廳
1179640	1185640	餐廳
1185640	1191640	餐廳
1191640	1197640	餐廳
1197640	1203640	餐廳
1203640	1209640	餐廳
1209640	1215640	餐廳
1215640	1221640	餐廳
1221640	1227640	餐廳
1227640	1233640	餐廳
1233640	1239640	餐廳
1239640	1245640	餐廳
1245640	1251640	餐廳
1251640	1257640	餐廳
1257640	1263640	餐廳
1263640	1269640	餐廳
1269640	1275640	餐廳
1275640	1281640	餐廳
1281640	1287640	餐廳
1287640	1293640	餐廳
1293640	1299640	餐廳
1299640	1305640	餐廳
1305640	1311640	餐廳
1311640	1317640	餐廳
1317640	1323640	餐廳
1323640	1329640	餐廳
1329640	1335640	餐廳
1335640	1341640	餐廳
1341640	1347640	餐廳
1347640	1353640	餐廳
1353640	1359640	餐廳
1359640	1365640	餐廳
1365640	1371640	餐廳
1371640	1377640	餐廳
1377640	1383640	餐廳
1383640	1389640	餐廳
1389640	1395640	餐廳
1395640	1401640	餐廳
1401640	1407640	餐廳
1407640	1413640	餐廳
1413640	1419640	餐廳
1419640	1425640	餐廳
1425640	1431640	餐廳
1431640	1437640	餐廳
1437640	1443640	餐廳
1443640	1449640	餐廳
1449640	1455640	餐廳
1455640	1461640	餐廳
1461640	1467640	餐廳
1467640	1473640	餐廳
1473640	1479640	餐廳
1479640	1485640	餐廳
1485640	1491640	餐廳
1491640	1497640	餐廳
1497640	1503640	餐廳
1503640	1509640	餐廳
1509640	1515640	餐廳
1515640	1521640	餐廳
1521640	1527640	餐廳
1527640	1533640	餐廳
1533640	1539640	餐廳
1539640	1545640	餐廳
1545640	1551640	餐廳
1551640	1557640	餐廳
1557640	1563640	餐廳
1563640	1569640	餐廳
1569640	1575640	餐廳
1575640	1581640	餐廳
1581640	1587640	餐廳
1587640	1593640	餐廳
1593640	1599640	餐廳
1599640	1605640	餐廳
1605640	1611640	餐廳
1611640	1617640	餐廳
1617640	1623640	餐廳
1623640	1629640	餐廳
1629640	1635640	餐廳
1635640	1641640	餐廳
1641640	1647640	餐廳
1647640	1653640	餐廳
1653640	1659640	餐廳
1659640	1665640	餐廳
1665640	1671640	餐廳
1671640	1677640	餐廳
1677640	1683640	餐廳
1683640	1689640	餐廳
1689640	1695640	餐廳
1695640	1701640	餐廳
1701640	1707640	餐廳
1707640	1713640	餐廳
1713640	1719640	餐廳
1719640	1725640	餐廳
1725640	1731640	餐廳
1731640	1737640	餐廳
1737640	1743640	餐廳
1743640	1749640	餐廳
1749640	1755640	餐廳
1755640	1761640	餐廳
1761640	1767640	餐廳
1767640	1773640	餐廳
1773640	1779640	餐廳
1779640	1785640	餐廳
1785640	1791640	餐廳
1791640	1797640	餐廳
1797640	1803640	餐廳
1803640	1809640	餐廳
1809640	1815640	餐廳
1815640	1821640	餐廳
1821640	1827640	餐廳
1827640	1833640	餐廳
1833640	1839640	餐廳
1839640	1845640	餐廳
1845640	1851640	餐廳
1851640	1857640	餐廳
1857640	1863640	餐廳
1863640	1869640	餐廳
1869640	1875640	餐廳
1875640	1881640	餐廳
1881640	1887640	餐廳
1887640	1893640	餐廳
1893640	1899640	餐廳
1899640	1905640	餐廳
1905640	1911640	餐廳
1911640	1917640	餐廳
1917640	1923640	餐廳
1923640	1929640	餐廳
1929640	1935640	餐廳
1935640	1941640	餐廳
1941640	1947640	餐廳
1947640	1953640	餐廳
1953640	1959640	餐廳
1959640	1965640	餐廳
1965640	1971640	餐廳
1971640	1977640	餐廳
1977640	1983640	餐廳
1983640	1989640	餐廳
1989640	1995640	餐廳
1995640	2001640	餐廳
2001640	2007640	餐廳
2007640	2013640	餐廳
2013640	2019640	餐廳
2019640	2025640	餐廳
2025640	2031640	餐廳
2031640	2037640	餐廳
2037640	2043640	餐廳
2043640	2049640	餐廳
2049640	2055640	餐廳
2055640	2061640	餐廳
2061640	2067640	餐廳
2067640	2073640	餐廳
2073640	2079640	餐廳
2079640	2085640	餐廳
2085640	2091640	餐廳
2091640	2097640	餐廳
2097640	2103640	餐廳
2103640	2109640	餐廳
2109640	2115640	餐廳
2115640	2121640	餐廳
2121640	2127640	餐廳
2127640	2133640	餐廳
2133640	2139640	餐廳
2139640	2145640	餐廳
2145640	2151640	餐廳
2151640	2157640	餐廳
2157640	2163640	餐廳
2163640	2169640	餐廳
2169640	2175640	餐廳
2175640	2181640	餐廳
2181640	2187640	餐廳
2187640	2193640	餐廳
2193640	2199640	餐廳
2199640	2205640	餐廳
2205640	2211640	餐廳
2211640	2217640	餐廳
2217640	2223640	餐廳
2223640	2229640	餐廳
2229640	2235640	餐廳
2235640	2241640	餐廳
2241640	2247640	餐廳
2247640	2253640	餐廳
2253640	2259640	餐廳
2259640	2265640	餐廳
2265640	2271640	餐廳
2271640	2277640	餐廳
2277640	2283640	餐廳
2283640	2289640	餐廳
2289640	2295640	餐廳
2295640	2301640	餐廳
2301640	2307640	餐廳
2307640	2313640	餐廳
2313640	2319640	餐廳
2319640	2325640	餐廳
2325640	2331640	餐廳
2331640	2337640	餐廳
2337640	2343640	餐廳
2343640	2349640	餐廳
2349640	2355640	餐廳
2355640	2361640	餐廳
2361640	2367640	餐廳
2367640	2373640	餐廳
2373640	2379640	餐廳
2379640	2385640	餐廳
2385640	2391640	餐廳
2391640	2397640	餐廳
2397640	2403640	餐廳
2403640	2409640	餐廳
2409640	2415640	餐廳
2415640	2421640	餐廳
2421640	2427640	餐廳
2427640	2433640	餐廳
2433640	2439640	餐廳
2439640	2445640	餐廳
2445640	2451640	餐廳
2451640	2457640	餐廳
2457640	2463640	餐廳
2463640	2469640	餐廳
2469640	2475640	餐廳
2475640	2481640	餐廳
2481640	2487640	餐廳
2487640	2493640	餐廳
2493640	2499640	餐廳
2499640	2505640	餐廳
2505640	2511640	餐廳
2511640	2517640	餐廳
2517640	2523640	餐廳
2523640	2529640	餐廳
2529640	2535640	餐廳
2535640	2541640	餐廳
2541640	2547640	餐廳
2547640	2553640	餐廳
2553640	2559640	餐廳
2559640	2565640	餐廳
2565640	2571640	餐廳
2571640	2577640	餐廳
2577640	2583640	餐廳
2583640	2589640	餐廳
2589640	2595640	餐廳
2595640	2601640	餐廳
2601640	2607640	餐廳
2607640	2613640	餐廳
2613640	2619640	餐廳
2619640	2625640	餐廳
2625640	2631640	餐廳
2631640	2637640	餐廳
2637640	2643640	餐廳
2643640	2649640	餐廳
2649640	2655640	餐廳
2655640	2661640	餐廳
2661640	2667640	餐廳
2667640	2673640	餐廳
2673640	2679640	餐廳
2679640	2685640	餐廳
2685640	2691640	餐廳
2691640	2697640	餐廳
2697640	2703640	餐廳
2703640	2709640	餐廳
2709640	2715640	餐廳
2715640	2721640	餐廳
2721640	2727640	餐廳
2727640	2733640	餐廳
2733640	2739640	餐廳
2739640	2745640	餐廳
2745640	2751640	餐廳
2751640	2757640	餐廳
2757640	2763640	餐廳
2763640	2769640	餐廳
2769640	2775640	餐廳
2775640	2781640	餐廳
2781640	2787640	餐廳
2787640	2793640	餐廳
2793640	2799640	餐廳
2799640	2805640	餐廳
2805640	2811640	餐廳
2811640	2817640	餐廳
2817640	2823640	餐廳
2823640	2829640	餐廳
2829640	2835640	餐廳
2835640	2841640	餐廳
2841640	2847640	餐廳
2847640	2853640	餐廳
2853640	2859640	餐廳
2859640	2865640	餐廳
2865640	2871640	餐廳
2871640	2877640	餐廳
2877640	2883640	餐廳
2883640	2889640	餐廳
2889640	2895640	餐廳
2895640	2901640	餐廳
2901640	2907640	餐廳
2907640	2913640	餐廳
2913640	2919640	餐廳
2919640	2925640	餐廳
2925640	2931640	餐廳
2931640	2937640	餐廳
2937640	2943640	餐廳
2943640	2949640	餐廳
2949640	2955640	餐廳
2955640	2961640	餐廳
2961640	2967640	餐廳
2967640	2973640	餐廳
2973640	2979640	餐廳
2979640	2985640	餐廳
2985640	2991640	餐廳
2991640	2997640	餐廳
2997640	3003640	餐廳
3003640	3009640	餐廳
3009640	3015640	餐廳
3015640	3021640	餐廳
3021640	3027640	餐廳
3027640	3033640	餐廳
3033640	3039640	餐廳
3039640	3045640	餐廳
3045640	3051640	餐廳
3051640	3057640	餐廳
3057640	3063640	餐廳
3063640	3069640	餐廳
3069640	3075640	餐廳
3075640	3081640	餐廳
3081640	3087640	餐廳
3087640	3093640	餐廳
3093640	3099640	餐廳
3099640	3105640	餐廳
3105640	3111640	餐廳
3111640	3117640	餐廳
3117640	3123640	餐廳
3123640	3129640	餐廳
3129640	3135640	餐廳
3135640	3141640	餐廳
3141640	3147640	餐廳
3147640	3153640	餐廳
3153640	3159640	餐廳
3159640	3165640	餐廳
3165640	3171640	餐廳
3171640	3177640	餐廳
3177640	3183640	餐廳
3183640	3189640	餐廳
3189640	3195640	餐廳
3195640	3201640	餐廳
3201640	3207640	餐廳
3207640	3213640	餐廳
3213640	3219640	餐廳
3219640	3225640	餐廳
3225640	3231640	餐廳
3231640	3237640	餐廳
3237640	3243640	餐廳
3243640	3249640	餐廳
3249640	3255640	餐廳
3255640	3261640	餐廳
3261640	3267640	餐廳
3267640	3273640	餐廳
3273640	3279640	餐廳
3279640	3285640	餐廳
3285640	3291640	餐廳
3291640	3297640	餐廳
3297640	3303640	餐廳
3303640	3309640	餐廳
3309640	3315640	餐廳
3315640	3321640	餐廳
3321640	3327640	餐廳
3327640	3333640	餐廳
3333640	3339640	餐廳
3339640	3345640	餐廳
3345640	3351640	餐廳
3351640	3357640	餐廳
3357640	3363640	餐廳
3363640	3365640	好 剛剛講的是半導體基礎
3365640	3367640	那接下來講人工智慧的基礎
3367640	3371640	那大家知道人工智慧就是AI
3371640	3373640	Artificial Intelligence
3373640	3379640	有一家公司號稱做了一個這個
3379640	3381640	可以測量我們這個
3381640	3383640	每個人的IT
